,movies,year,imdb,metascore,nv
476,Anchorman: The Legend of Ron Burgundy,2004,7.2,63.0,332037
477,Hellboy,2004,6.8,72.0,307494
478,Before Sunset,2004,8.1,90.0,238678
479,Garden State,2004,7.4,67.0,207124
480,Closer,2004,7.2,65.0,204413
481,Finding Neverland,2004,7.6,67.0,199457
482,Napoleon Dynamite,2004,6.9,64.0,199108
483,A Series of Unfortunate Events,2004,6.8,62.0,197148
484,Batman Begins,2005,8.2,70.0,1317954
485,V for Vendetta,2005,8.2,62.0,1039397
486,Sin City,2005,8.0,74.0,740163
487,Star Wars: Episode III - Revenge of the Sith,2005,7.5,68.0,717877
488,Harry Potter and the Goblet of Fire,2005,7.7,81.0,553514
489,Charlie and the Chocolate Factory,2005,6.6,72.0,432171
490,War of the Worlds,2005,6.5,73.0,418019
491,The 40 Year Old Virgin,2005,7.1,73.0,398534
492,King Kong,2005,7.2,81.0,393925
493,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9,75.0,369000
494,Wedding Crashers,2005,6.9,64.0,334224
495,Brokeback Mountain,2005,7.7,87.0,325348
496,Lord of War,2005,7.6,62.0,295453
497,Serenity,2005,7.8,74.0,284288
498,Kingdom of Heaven,2005,7.2,63.0,268492
499,Pride & Prejudice,2005,7.8,82.0,262089
500,Corpse Bride,2005,7.3,83.0,246987
501,Walk the Line,2005,7.8,72.0,235627
502,A History of Violence,2005,7.4,81.0,224981
503,Kiss Kiss Bang Bang,2005,7.5,72.0,215892
504,Thank You for Smoking,2005,7.6,71.0,213557
505,Munich,2005,7.5,74.0,213494
506,Match Point,2005,7.6,72.0,207285
507,The Descent,2005,7.2,71.0,202833
508,The Hitchhiker's Guide to the Galaxy,2005,6.8,63.0,187297
509,Cinderella Man,2005,8.0,69.0,177098
510,Batman Begins,2005,8.2,70.0,1317954
511,V for Vendetta,2005,8.2,62.0,1039397
512,Sin City,2005,8.0,74.0,740163
513,Star Wars: Episode III - Revenge of the Sith,2005,7.5,68.0,717877
514,Harry Potter and the Goblet of Fire,2005,7.7,81.0,553514
515,Charlie and the Chocolate Factory,2005,6.6,72.0,432171
516,War of the Worlds,2005,6.5,73.0,418019
517,The 40 Year Old Virgin,2005,7.1,73.0,398534
518,King Kong,2005,7.2,81.0,393925
519,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9,75.0,369000
520,Wedding Crashers,2005,6.9,64.0,334224
521,Brokeback Mountain,2005,7.7,87.0,325348
522,Lord of War,2005,7.6,62.0,295453
523,Serenity,2005,7.8,74.0,284288
524,Kingdom of Heaven,2005,7.2,63.0,268492
525,Pride & Prejudice,2005,7.8,82.0,262089
526,Corpse Bride,2005,7.3,83.0,246987
527,Walk the Line,2005,7.8,72.0,235627
528,A History of Violence,2005,7.4,81.0,224981
529,Kiss Kiss Bang Bang,2005,7.5,72.0,215892
530,Thank You for Smoking,2005,7.6,71.0,213557
531,Munich,2005,7.5,74.0,213494
532,Match Point,2005,7.6,72.0,207285
533,The Descent,2005,7.2,71.0,202833
534,The Hitchhiker's Guide to the Galaxy,2005,6.8,63.0,187297
535,Cinderella Man,2005,8.0,69.0,177098
536,Batman Begins,2005,8.2,70.0,1317954
537,V for Vendetta,2005,8.2,62.0,1039397
538,Sin City,2005,8.0,74.0,740163
539,Star Wars: Episode III - Revenge of the Sith,2005,7.5,68.0,717877
540,Harry Potter and the Goblet of Fire,2005,7.7,81.0,553514
541,Charlie and the Chocolate Factory,2005,6.6,72.0,432171
542,War of the Worlds,2005,6.5,73.0,418019
543,The 40 Year Old Virgin,2005,7.1,73.0,398534
544,King Kong,2005,7.2,81.0,393925
545,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9,75.0,369000
546,Wedding Crashers,2005,6.9,64.0,334224
547,Brokeback Mountain,2005,7.7,87.0,325348
548,Lord of War,2005,7.6,62.0,295453
549,Serenity,2005,7.8,74.0,284288
550,Kingdom of Heaven,2005,7.2,63.0,268492
551,Pride & Prejudice,2005,7.8,82.0,262089
552,Corpse Bride,2005,7.3,83.0,246987
553,Walk the Line,2005,7.8,72.0,235627
554,A History of Violence,2005,7.4,81.0,224981
555,Kiss Kiss Bang Bang,2005,7.5,72.0,215892
556,Thank You for Smoking,2005,7.6,71.0,213557
557,Munich,2005,7.5,74.0,213494
558,Match Point,2005,7.6,72.0,207285
559,The Descent,2005,7.2,71.0,202833
560,The Hitchhiker's Guide to the Galaxy,2005,6.8,63.0,187297
561,Cinderella Man,2005,8.0,69.0,177098
562,Batman Begins,2005,8.2,70.0,1317954
563,V for Vendetta,2005,8.2,62.0,1039397
564,Sin City,2005,8.0,74.0,740163
565,Star Wars: Episode III - Revenge of the Sith,2005,7.5,68.0,717877
566,Harry Potter and the Goblet of Fire,2005,7.7,81.0,553514
567,Charlie and the Chocolate Factory,2005,6.6,72.0,432171
568,War of the Worlds,2005,6.5,73.0,418019
569,The 40 Year Old Virgin,2005,7.1,73.0,398534
570,King Kong,2005,7.2,81.0,393925
571,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9,75.0,369000
572,Wedding Crashers,2005,6.9,64.0,334224
573,Brokeback Mountain,2005,7.7,87.0,325348
574,Lord of War,2005,7.6,62.0,295453
575,Serenity,2005,7.8,74.0,284288
576,Kingdom of Heaven,2005,7.2,63.0,268492
577,Pride & Prejudice,2005,7.8,82.0,262089
578,Corpse Bride,2005,7.3,83.0,246987
579,Walk the Line,2005,7.8,72.0,235627
580,A History of Violence,2005,7.4,81.0,224981
581,Kiss Kiss Bang Bang,2005,7.5,72.0,215892
582,Thank You for Smoking,2005,7.6,71.0,213557
583,Munich,2005,7.5,74.0,213494
584,Match Point,2005,7.6,72.0,207285
585,The Descent,2005,7.2,71.0,202833
586,The Hitchhiker's Guide to the Galaxy,2005,6.8,63.0,187297
587,Cinderella Man,2005,8.0,69.0,177098
588,The Prestige,2006,8.5,66.0,1201274
589,The Departed,2006,8.5,85.0,1200175
590,Pan's Labyrinth,2006,8.2,98.0,622628
591,Casino Royale,2006,8.0,80.0,585239
592,Blood Diamond,2006,8.0,64.0,502722
593,Children of Men,2006,7.9,84.0,467568
594,The Pursuit of Happyness,2006,8.0,64.0,453015
595,Little Miss Sunshine,2006,7.8,80.0,442563
596,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,7.3,89.0,380866
597,The Devil Wears Prada,2006,6.9,62.0,374809
598,Cars,2006,7.1,73.0,372231
599,The Lives of Others,2006,8.4,89.0,361787
600,The Illusionist,2006,7.6,68.0,356052
601,Inside Man,2006,7.6,76.0,342938
602,Mission: Impossible III,2006,6.9,66.0,332262
603,Apocalypto,2006,7.8,68.0,292632
604,Babel,2006,7.4,69.0,290713
605,Superman Returns,2006,6.0,72.0,271848
606,Stranger Than Fiction,2006,7.5,67.0,219986
607,Rocky Balboa,2006,7.1,63.0,205287
608,The Last King of Scotland,2006,7.7,74.0,176334
609,Happy Feet,2006,6.4,77.0,171108
610,Talladega Nights: The Ballad of Ricky Bobby,2006,6.6,66.0,168657
611,Over the Hedge,2006,6.7,67.0,160965
612,Letters from Iwo Jima,2006,7.9,89.0,154603
613,Idiocracy,2006,6.6,66.0,147079
614,The Prestige,2006,8.5,66.0,1201274
615,The Departed,2006,8.5,85.0,1200175
616,Pan's Labyrinth,2006,8.2,98.0,622628
617,Casino Royale,2006,8.0,80.0,585239
618,Blood Diamond,2006,8.0,64.0,502722
619,Children of Men,2006,7.9,84.0,467568
620,The Pursuit of Happyness,2006,8.0,64.0,453015
621,Little Miss Sunshine,2006,7.8,80.0,442563
622,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,7.3,89.0,380866
623,The Devil Wears Prada,2006,6.9,62.0,374809
624,Cars,2006,7.1,73.0,372231
625,The Lives of Others,2006,8.4,89.0,361787
626,The Illusionist,2006,7.6,68.0,356052
627,Inside Man,2006,7.6,76.0,342938
628,Mission: Impossible III,2006,6.9,66.0,332262
629,Apocalypto,2006,7.8,68.0,292632
630,Babel,2006,7.4,69.0,290713
631,Superman Returns,2006,6.0,72.0,271848
632,Stranger Than Fiction,2006,7.5,67.0,219986
633,Rocky Balboa,2006,7.1,63.0,205287
634,The Last King of Scotland,2006,7.7,74.0,176334
635,Happy Feet,2006,6.4,77.0,171108
636,Talladega Nights: The Ballad of Ricky Bobby,2006,6.6,66.0,168657
637,Over the Hedge,2006,6.7,67.0,160965
638,Letters from Iwo Jima,2006,7.9,89.0,154603
639,Idiocracy,2006,6.6,66.0,147079
640,The Prestige,2006,8.5,66.0,1201274
641,The Departed,2006,8.5,85.0,1200175
642,Pan's Labyrinth,2006,8.2,98.0,622628
643,Casino Royale,2006,8.0,80.0,585239
644,Blood Diamond,2006,8.0,64.0,502722
645,Children of Men,2006,7.9,84.0,467568
646,The Pursuit of Happyness,2006,8.0,64.0,453015
647,Little Miss Sunshine,2006,7.8,80.0,442563
648,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,7.3,89.0,380866
649,The Devil Wears Prada,2006,6.9,62.0,374809
650,Cars,2006,7.1,73.0,372231
651,The Lives of Others,2006,8.4,89.0,361787
652,The Illusionist,2006,7.6,68.0,356052
653,Inside Man,2006,7.6,76.0,342938
654,Mission: Impossible III,2006,6.9,66.0,332262
655,Apocalypto,2006,7.8,68.0,292632
656,Babel,2006,7.4,69.0,290713
657,Superman Returns,2006,6.0,72.0,271848
658,Stranger Than Fiction,2006,7.5,67.0,219986
659,Rocky Balboa,2006,7.1,63.0,205287
660,The Last King of Scotland,2006,7.7,74.0,176334
661,Happy Feet,2006,6.4,77.0,171108
662,Talladega Nights: The Ballad of Ricky Bobby,2006,6.6,66.0,168657
663,Over the Hedge,2006,6.7,67.0,160965
664,Letters from Iwo Jima,2006,7.9,89.0,154603
665,Idiocracy,2006,6.6,66.0,147079
666,The Prestige,2006,8.5,66.0,1201274
667,The Departed,2006,8.5,85.0,1200175
668,Pan's Labyrinth,2006,8.2,98.0,622628
669,Casino Royale,2006,8.0,80.0,585239
670,Blood Diamond,2006,8.0,64.0,502722
671,Children of Men,2006,7.9,84.0,467568
672,The Pursuit of Happyness,2006,8.0,64.0,453015
673,Little Miss Sunshine,2006,7.8,80.0,442563
674,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,7.3,89.0,380866
675,The Devil Wears Prada,2006,6.9,62.0,374809
676,Cars,2006,7.1,73.0,372231
677,The Lives of Others,2006,8.4,89.0,361787
678,The Illusionist,2006,7.6,68.0,356052
679,Inside Man,2006,7.6,76.0,342938
680,Mission: Impossible III,2006,6.9,66.0,332262
681,Apocalypto,2006,7.8,68.0,292632
682,Babel,2006,7.4,69.0,290713
683,Superman Returns,2006,6.0,72.0,271848
684,Stranger Than Fiction,2006,7.5,67.0,219986
685,Rocky Balboa,2006,7.1,63.0,205287
686,The Last King of Scotland,2006,7.7,74.0,176334
687,Happy Feet,2006,6.4,77.0,171108
688,Talladega Nights: The Ballad of Ricky Bobby,2006,6.6,66.0,168657
689,Over the Hedge,2006,6.7,67.0,160965
690,Letters from Iwo Jima,2006,7.9,89.0,154603
691,Idiocracy,2006,6.6,66.0,147079
692,No Country for Old Men,2007,8.1,91.0,865411
693,I Am Legend,2007,7.2,65.0,691203
694,Ratatouille,2007,8.0,96.0,647191
695,The Bourne Ultimatum,2007,8.0,85.0,606765
696,Transformers,2007,7.0,61.0,598357
697,Into the Wild,2007,8.1,73.0,577632
698,Superbad,2007,7.6,76.0,524424
699,There Will Be Blood,2007,8.2,93.0,522840
700,Harry Potter and the Order of the Phoenix,2007,7.5,71.0,515837
701,Juno,2007,7.4,81.0,493112
702,Zodiac,2007,7.7,78.0,472278
703,Hot Fuzz,2007,7.8,81.0,466380
704,American Gangster,2007,7.8,76.0,395258
705,Live Free or Die Hard,2007,7.1,69.0,390697
706,Knocked Up,2007,6.9,85.0,352232
707,Sweeney Todd: The Demon Barber of Fleet Street,2007,7.3,83.0,346078
708,Ocean's Thirteen,2007,6.9,62.0,323437
709,The Simpsons Movie,2007,7.3,80.0,310100
710,3:10 to Yuma,2007,7.7,76.0,290773
711,28 Weeks Later,2007,7.0,78.0,259760
712,1408,2007,6.8,64.0,256428
713,Stardust,2007,7.6,66.0,256382
714,Atonement,2007,7.8,85.0,253779
715,Gone Baby Gone,2007,7.6,72.0,252265
716,Sunshine,2007,7.2,64.0,234826
717,Eastern Promises,2007,7.6,82.0,229180
718,Disturbia,2007,6.8,62.0,222233
719,Paranormal Activity,2007,6.3,68.0,221547
720,Fracture,2007,7.2,68.0,188790
721,The Darjeeling Limited,2007,7.2,67.0,182033
722,Grindhouse,2007,7.5,77.0,178426
723,Enchanted,2007,7.0,75.0,177765
724,No Country for Old Men,2007,8.1,91.0,865411
725,I Am Legend,2007,7.2,65.0,691203
726,Ratatouille,2007,8.0,96.0,647191
727,The Bourne Ultimatum,2007,8.0,85.0,606765
728,Transformers,2007,7.0,61.0,598357
729,Into the Wild,2007,8.1,73.0,577632
730,Superbad,2007,7.6,76.0,524424
731,There Will Be Blood,2007,8.2,93.0,522840
732,Harry Potter and the Order of the Phoenix,2007,7.5,71.0,515837
733,Juno,2007,7.4,81.0,493112
734,Zodiac,2007,7.7,78.0,472278
735,Hot Fuzz,2007,7.8,81.0,466380
736,American Gangster,2007,7.8,76.0,395258
737,Live Free or Die Hard,2007,7.1,69.0,390697
738,Knocked Up,2007,6.9,85.0,352232
739,Sweeney Todd: The Demon Barber of Fleet Street,2007,7.3,83.0,346078
740,Ocean's Thirteen,2007,6.9,62.0,323437
741,The Simpsons Movie,2007,7.3,80.0,310100
742,3:10 to Yuma,2007,7.7,76.0,290773
743,28 Weeks Later,2007,7.0,78.0,259760
744,1408,2007,6.8,64.0,256428
745,Stardust,2007,7.6,66.0,256382
746,Atonement,2007,7.8,85.0,253779
747,Gone Baby Gone,2007,7.6,72.0,252265
748,Sunshine,2007,7.2,64.0,234826
749,Eastern Promises,2007,7.6,82.0,229180
750,Disturbia,2007,6.8,62.0,222233
751,Paranormal Activity,2007,6.3,68.0,221547
752,Fracture,2007,7.2,68.0,188790
753,The Darjeeling Limited,2007,7.2,67.0,182033
754,Grindhouse,2007,7.5,77.0,178426
755,Enchanted,2007,7.0,75.0,177765
756,No Country for Old Men,2007,8.1,91.0,865411
757,I Am Legend,2007,7.2,65.0,691203
758,Ratatouille,2007,8.0,96.0,647191
759,The Bourne Ultimatum,2007,8.0,85.0,606765
760,Transformers,2007,7.0,61.0,598357
761,Into the Wild,2007,8.1,73.0,577632
762,Superbad,2007,7.6,76.0,524424
763,There Will Be Blood,2007,8.2,93.0,522840
764,Harry Potter and the Order of the Phoenix,2007,7.5,71.0,515837
765,Juno,2007,7.4,81.0,493112
766,Zodiac,2007,7.7,78.0,472278
767,Hot Fuzz,2007,7.8,81.0,466380
768,American Gangster,2007,7.8,76.0,395258
769,Live Free or Die Hard,2007,7.1,69.0,390697
770,Knocked Up,2007,6.9,85.0,352232
771,Sweeney Todd: The Demon Barber of Fleet Street,2007,7.3,83.0,346078
772,Ocean's Thirteen,2007,6.9,62.0,323437
773,The Simpsons Movie,2007,7.3,80.0,310100
774,3:10 to Yuma,2007,7.7,76.0,290773
775,28 Weeks Later,2007,7.0,78.0,259760
776,1408,2007,6.8,64.0,256428
777,Stardust,2007,7.6,66.0,256382
778,Atonement,2007,7.8,85.0,253779
779,Gone Baby Gone,2007,7.6,72.0,252265
780,Sunshine,2007,7.2,64.0,234826
781,Eastern Promises,2007,7.6,82.0,229180
782,Disturbia,2007,6.8,62.0,222233
783,Paranormal Activity,2007,6.3,68.0,221547
784,Fracture,2007,7.2,68.0,188790
785,The Darjeeling Limited,2007,7.2,67.0,182033
786,Grindhouse,2007,7.5,77.0,178426
787,Enchanted,2007,7.0,75.0,177765
788,No Country for Old Men,2007,8.1,91.0,865411
789,I Am Legend,2007,7.2,65.0,691203
790,Ratatouille,2007,8.0,96.0,647191
791,The Bourne Ultimatum,2007,8.0,85.0,606765
792,Transformers,2007,7.0,61.0,598357
793,Into the Wild,2007,8.1,73.0,577632
794,Superbad,2007,7.6,76.0,524424
795,There Will Be Blood,2007,8.2,93.0,522840
796,Harry Potter and the Order of the Phoenix,2007,7.5,71.0,515837
797,Juno,2007,7.4,81.0,493112
798,Zodiac,2007,7.7,78.0,472278
799,Hot Fuzz,2007,7.8,81.0,466380
800,American Gangster,2007,7.8,76.0,395258
801,Live Free or Die Hard,2007,7.1,69.0,390697
802,Knocked Up,2007,6.9,85.0,352232
803,Sweeney Todd: The Demon Barber of Fleet Street,2007,7.3,83.0,346078
804,Ocean's Thirteen,2007,6.9,62.0,323437
805,The Simpsons Movie,2007,7.3,80.0,310100
806,3:10 to Yuma,2007,7.7,76.0,290773
807,28 Weeks Later,2007,7.0,78.0,259760
808,1408,2007,6.8,64.0,256428
809,Stardust,2007,7.6,66.0,256382
810,Atonement,2007,7.8,85.0,253779
811,Gone Baby Gone,2007,7.6,72.0,252265
812,Sunshine,2007,7.2,64.0,234826
813,Eastern Promises,2007,7.6,82.0,229180
814,Disturbia,2007,6.8,62.0,222233
815,Paranormal Activity,2007,6.3,68.0,221547
816,Fracture,2007,7.2,68.0,188790
817,The Darjeeling Limited,2007,7.2,67.0,182033
818,Grindhouse,2007,7.5,77.0,178426
819,Enchanted,2007,7.0,75.0,177765
820,The Dark Knight,2008,9.0,84.0,2323787
821,WALL·E,2008,8.4,95.0,1008164
822,Iron Man,2008,7.9,79.0,947704
823,Slumdog Millionaire,2008,8.0,84.0,802789
824,Gran Torino,2008,8.1,72.0,724798
825,The Curious Case of Benjamin Button,2008,7.8,70.0,593880
826,The Incredible Hulk,2008,6.7,61.0,437862
827,Indiana Jones and the Kingdom of the Crystal Skull,2008,6.1,65.0,427481
828,The Hurt Locker,2008,7.5,95.0,424147
829,Kung Fu Panda,2008,7.6,74.0,422879
830,In Bruges,2008,7.9,67.0,392534
831,Tropic Thunder,2008,7.0,71.0,380314
832,Cloverfield,2008,7.0,64.0,374600
833,Wanted,2008,6.7,64.0,361436
834,Pineapple Express,2008,6.9,64.0,317913
835,Burn After Reading,2008,7.0,63.0,311787
836,The Wrestler,2008,7.9,80.0,290593
837,Forgetting Sarah Marshall,2008,7.1,67.0,265780
838,Hellboy II: The Golden Army,2008,7.0,78.0,256569
839,Vicky Cristina Barcelona,2008,7.1,70.0,243589
840,Changeling,2008,7.7,63.0,240574
841,Role Models,2008,6.8,61.0,220983
842,Madagascar: Escape 2 Africa,2008,6.6,61.0,207332
843,Låt den rätte komma in,2008,7.9,82.0,206415
844,Revolutionary Road,2008,7.3,69.0,198688
845,The Chronicles of Narnia: Prince Caspian,2008,6.5,62.0,195668
846,The Dark Knight,2008,9.0,84.0,2323787
847,WALL·E,2008,8.4,95.0,1008164
848,Iron Man,2008,7.9,79.0,947704
849,Slumdog Millionaire,2008,8.0,84.0,802789
850,Gran Torino,2008,8.1,72.0,724798
851,The Curious Case of Benjamin Button,2008,7.8,70.0,593880
852,The Incredible Hulk,2008,6.7,61.0,437862
853,Indiana Jones and the Kingdom of the Crystal Skull,2008,6.1,65.0,427481
854,The Hurt Locker,2008,7.5,95.0,424147
855,Kung Fu Panda,2008,7.6,74.0,422879
856,In Bruges,2008,7.9,67.0,392534
857,Tropic Thunder,2008,7.0,71.0,380314
858,Cloverfield,2008,7.0,64.0,374600
859,Wanted,2008,6.7,64.0,361436
860,Pineapple Express,2008,6.9,64.0,317913
861,Burn After Reading,2008,7.0,63.0,311787
862,The Wrestler,2008,7.9,80.0,290593
863,Forgetting Sarah Marshall,2008,7.1,67.0,265780
864,Hellboy II: The Golden Army,2008,7.0,78.0,256569
865,Vicky Cristina Barcelona,2008,7.1,70.0,243589
866,Changeling,2008,7.7,63.0,240574
867,Role Models,2008,6.8,61.0,220983
868,Madagascar: Escape 2 Africa,2008,6.6,61.0,207332
869,Låt den rätte komma in,2008,7.9,82.0,206415
870,Revolutionary Road,2008,7.3,69.0,198688
871,The Chronicles of Narnia: Prince Caspian,2008,6.5,62.0,195668
872,The Dark Knight,2008,9.0,84.0,2323787
873,WALL·E,2008,8.4,95.0,1008164
874,Iron Man,2008,7.9,79.0,947704
875,Slumdog Millionaire,2008,8.0,84.0,802789
876,Gran Torino,2008,8.1,72.0,724798
877,The Curious Case of Benjamin Button,2008,7.8,70.0,593880
878,The Incredible Hulk,2008,6.7,61.0,437862
879,Indiana Jones and the Kingdom of the Crystal Skull,2008,6.1,65.0,427481
880,The Hurt Locker,2008,7.5,95.0,424147
881,Kung Fu Panda,2008,7.6,74.0,422879
882,In Bruges,2008,7.9,67.0,392534
883,Tropic Thunder,2008,7.0,71.0,380314
884,Cloverfield,2008,7.0,64.0,374600
885,Wanted,2008,6.7,64.0,361436
886,Pineapple Express,2008,6.9,64.0,317913
887,Burn After Reading,2008,7.0,63.0,311787
888,The Wrestler,2008,7.9,80.0,290593
889,Forgetting Sarah Marshall,2008,7.1,67.0,265780
890,Hellboy II: The Golden Army,2008,7.0,78.0,256569
891,Vicky Cristina Barcelona,2008,7.1,70.0,243589
892,Changeling,2008,7.7,63.0,240574
893,Role Models,2008,6.8,61.0,220983
894,Madagascar: Escape 2 Africa,2008,6.6,61.0,207332
895,Låt den rätte komma in,2008,7.9,82.0,206415
896,Revolutionary Road,2008,7.3,69.0,198688
897,The Chronicles of Narnia: Prince Caspian,2008,6.5,62.0,195668
898,The Dark Knight,2008,9.0,84.0,2323787
899,WALL·E,2008,8.4,95.0,1008164
900,Iron Man,2008,7.9,79.0,947704
901,Slumdog Millionaire,2008,8.0,84.0,802789
902,Gran Torino,2008,8.1,72.0,724798
903,The Curious Case of Benjamin Button,2008,7.8,70.0,593880
904,The Incredible Hulk,2008,6.7,61.0,437862
905,Indiana Jones and the Kingdom of the Crystal Skull,2008,6.1,65.0,427481
906,The Hurt Locker,2008,7.5,95.0,424147
907,Kung Fu Panda,2008,7.6,74.0,422879
908,In Bruges,2008,7.9,67.0,392534
909,Tropic Thunder,2008,7.0,71.0,380314
910,Cloverfield,2008,7.0,64.0,374600
911,Wanted,2008,6.7,64.0,361436
912,Pineapple Express,2008,6.9,64.0,317913
913,Burn After Reading,2008,7.0,63.0,311787
914,The Wrestler,2008,7.9,80.0,290593
915,Forgetting Sarah Marshall,2008,7.1,67.0,265780
916,Hellboy II: The Golden Army,2008,7.0,78.0,256569
917,Vicky Cristina Barcelona,2008,7.1,70.0,243589
918,Changeling,2008,7.7,63.0,240574
919,Role Models,2008,6.8,61.0,220983
920,Madagascar: Escape 2 Africa,2008,6.6,61.0,207332
921,Låt den rätte komma in,2008,7.9,82.0,206415
922,Revolutionary Road,2008,7.3,69.0,198688
923,The Chronicles of Narnia: Prince Caspian,2008,6.5,62.0,195668
924,Inglourious Basterds,2009,8.3,69.0,1280888
925,Avatar,2009,7.8,83.0,1125042
926,Up,2009,8.2,88.0,943391
927,The Hangover,2009,7.7,73.0,721045
928,District 9,2009,7.9,81.0,640933
929,Star Trek,2009,7.9,82.0,579102
930,Zombieland,2009,7.6,73.0,522770
931,Harry Potter and the Half-Blood Prince,2009,7.6,78.0,479373
932,(500) Days of Summer,2009,7.7,76.0,475002
933,3 Idiots,2009,8.4,67.0,348056
934,Moon,2009,7.9,67.0,336895
